file_name,source_frame,has_shot,category,ball_center_x,ball_center_y,serving,serving_team,team_a_set_1,team_b_set_1,team_a_set_2,team_b_set_2,team_a_set_3,team_b_set_3,team_a_game_score,team_b_game_score,upper_team,lower_team,team_shot,player_a_left_x,player_a_left_y,player_a_left_w,player_a_left_h,player_a_drive_x,player_a_drive_y,player_a_drive_w,player_a_drive_h,player_b_left_x,player_b_left_y,player_b_left_w,player_b_left_h,player_b_drive_x,player_b_drive_y,player_b_drive_w,player_b_drive_h,time,shot_result
frame_000000.PNG,0,1,Serve,868.44,341.84999999999997,,a,0,0,0,0,0,0,0.0,0.0,a,b,a,1156.16,322.1,66.55,108.29,793.57,248.02,46.63,108.1,647.28,646.11,51.7,208.13,1318.84,667.05,79.14,191.31,0.0,1.0
frame_000001.PNG,1,1,Serve,871.82,358.305,,a,0,0,0,0,0,0,0.0,0.0,a,b,a,1156.35,322.18,66.37,108.5,793.96,246.52,46.29,109.13,647.56,646.11,51.8,208.82,1320.56,660.83,78.99,195.26,0.03333333333333333,1.0
frame_000003.PNG,3,1,Serve,872.63,352.03000000000003,,a,0,0,0,0,0,0,0.0,0.0,a,b,a,1157.44,322.2,65.44,108.21,794.43,246.97,44.53,108.92,647.8,646.52,52.31,210.27,1323.12,662.51,78.33,191.97,0.06666666666666667,1.0
frame_000004.PNG,4,1,Serve,873.1600000000001,341.685,,a,0,0,0,0,0,0,0.0,0.0,a,b,a,1157.41,322.09,65.39,108.29,797.56,245.46,40.83,109.31,648.6,647.07,52.36,210.32,1325.77,660.92,76.41,193.92,0.1,1.0
frame_000005.PNG,5,1,Serve,873.13,332.505,,a,0,0,0,0,0,0,0.0,0.0,a,b,a,1157.02,322.67,65.38,108.12,798.83,247.39,36.92,106.94,648.99,647.92,52.42,210.16,1328.22,663.21,74.64,194.18,0.13333333333333333,1.0
frame_000006.PNG,6,1,Serve,873.34,324.19,,a,0,0,0,0,0,0,0.0,0.0,a,b,a,1157.07,322.59,65.34,108.19,798.82,248.17,33.26,107.28,649.3,648.15,52.18,210.11,1329.6,671.65,73.54,189.53,0.16666666666666666,1.0
frame_000007.PNG,7,1,Serve,873.96,318.41,,a,0,0,0,0,0,0,0.0,0.0,a,b,a,1157.04,322.07,65.71,108.31,802.38,256.91,24.6,98.77,649.48,648.21,52.11,210.52,1331.42,673.59,72.16,190.5,0.2,1.0
frame_000009.PNG,9,1,Serve,874.005,312.725,,a,0,0,0,0,0,0,0.0,0.0,a,b,a,1156.76,322.06,65.9,108.08,800.0,258.22,23.26,98.15,649.69,648.42,51.89,210.49,1331.35,676.53,71.77,188.86,0.23333333333333334,1.0
frame_000010.PNG,10,1,Serve,874.38,308.40500000000003,,a,0,0,0,0,0,0,0.0,0.0,a,b,a,1155.94,322.62,65.8,107.46,799.09,255.65,28.04,101.77,649.91,648.68,51.81,210.08,1331.5,675.49,71.82,189.92,0.26666666666666666,1.0
frame_000011.PNG,11,1,Serve,874.56,304.78499999999997,,a,0,0,0,0,0,0,0.0,0.0,a,b,a,1155.81,322.26,66.26,107.73,799.93,259.69,23.44,98.15,650.21,649.03,51.35,209.53,1331.95,670.2,72.16,193.64,0.3,1.0
